#Parameters = {L=14.76212419082; Lstrip=14.805091994955; Lsus=35; W=15.46391753; Wstrip=1.65; Wsus=30.927835051546; a=0; d=30.927835051546; e=0.035; epsilonefe=3.505358317; g=1.1715; h=1.58; lambda=61.855670103093; lambdaparche=33.03796639; r_x0=240.2578583; x0=4.6861540903649}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
4.9489998817444	-19.703629080743
4.9499001502991	-19.712697822388
4.9507999420166	-19.720104539698
4.9517002105713	-19.725817514381
4.9526000022888	-19.729805273606
4.9534997940063	-19.732038785147
4.9544000625610	-19.732492472686
4.9552998542786	-19.731140972353
4.9562001228333	-19.727963440953
4.9570999145508	-19.722940445577
4.9580001831055	-19.716055260229
4.9588999748230	-19.707293829638
4.9597997665405	-19.696645278190
4.9607000350952	-19.684100890790
4.9615998268127	-19.669656282167
4.9625000953674	-19.653306954885
4.9633998870850	-19.635055406440
4.9643001556396	-19.614903496022
4.9651999473572	-19.592855928862
4.9661002159119	-19.568924945058
4.9670000076294	-19.543118889837
4.9678997993469	-19.515453402724
4.9688000679016	-19.485946657703
4.9696998596191	-19.454616492655
4.9706001281738	-19.421486031672
4.9714999198914	-19.386578360878
4.9724001884460	-19.349922811405
4.9732999801636	-19.311545689022
4.9741997718811	-19.271480037601
4.9751000404358	-19.229757769258
4.9759998321533	-19.186414926653
4.9769001007080	-19.141485738324
4.9777998924255	-19.095010124672
4.9787001609802	-19.047026587620
4.9795999526978	-18.997575309261
4.9805002212524	-18.946697529171
4.9814000129700	-18.894438133327
4.9822998046875	-18.840837415227
